LongNonCodingRnaIdentifier,AdenineRatio,ThymineRatio,CytosineRatio,GuanineRatio,GuanineCytosineContent,LowComplexityRegionRatio,DinucleotideAA,DinucleotideAT,DinucleotideAC,DinucleotideAG,DinucleotideTA,DinucleotideTT,DinucleotideTC,DinucleotideTG,DinucleotideCA,DinucleotideCT,DinucleotideCC,DinucleotideCG,DinucleotideGA,DinucleotideGT,DinucleotideGC,DinucleotideGG,SampleLabel
NR_186273.1,0.2756,0.2639,0.2084,0.2521,0.4605,1.0,0.0657,0.0488,0.0505,0.0909,0.0455,0.0572,0.0488,0.0943,0.0741,0.0808,0.0421,0.0067,0.0724,0.0589,0.0606,0.0522,1
NR_186272.1,0.2622,0.2681,0.2211,0.2485,0.4697,1.0,0.0627,0.0471,0.049,0.0863,0.0471,0.0569,0.051,0.0941,0.0745,0.0863,0.049,0.0059,0.0627,0.0588,0.0647,0.0529,1
NR_186269.1,0.2708,0.2675,0.2104,0.2512,0.4617,1.0,0.0637,0.049,0.049,0.0899,0.0441,0.0605,0.0507,0.0931,0.0752,0.0801,0.0425,0.0065,0.0703,0.0588,0.0605,0.0539,1
NR_186238.1,0.3076,0.2237,0.2092,0.2595,0.4687,1.0,0.0634,0.0626,0.0573,0.1001,0.0619,0.0458,0.0359,0.068,0.0756,0.0504,0.0466,0.0252,0.0833,0.0527,0.0581,0.0527,1
NR_152533.2,0.2778,0.2667,0.2063,0.2492,0.4556,1.0,0.0668,0.0493,0.0509,0.0906,0.0477,0.0588,0.0493,0.0922,0.0731,0.0795,0.0429,0.0064,0.0715,0.0604,0.0572,0.0525,1
ENST00000832849.1|ENSG00000290825.2|-|-|DDX11L16-285|DDX11L16|1182|,0.1997,0.2318,0.3274,0.2411,0.5685,1.0,0.0305,0.0347,0.0508,0.0754,0.022,0.0423,0.0728,0.0813,0.0821,0.0991,0.094,0.0169,0.0559,0.0423,0.0754,0.0533,0
ENST00000832842.1|ENSG00000290825.2|-|-|DDX11L16-278|DDX11L16|1387|,0.1954,0.2581,0.305,0.2415,0.5465,1.0,0.0296,0.0382,0.0483,0.0714,0.0231,0.0541,0.0765,0.088,0.0779,0.101,0.083,0.0152,0.0563,0.0483,0.07,0.0519,0
ENST00000831295.1|ENSG00000310526.1|-|-|WASH7P-253|WASH7P|1809|,0.2206,0.157,0.3118,0.3107,0.6224,1.0,0.0337,0.0271,0.0537,0.1023,0.0133,0.0227,0.0487,0.0708,0.0924,0.0713,0.0857,0.0348,0.078,0.0343,0.0962,0.0791,0
ENST00000831334.1|ENSG00000310526.1|-|-|WASH7P-267|WASH7P|1992|,0.2274,0.1601,0.3067,0.3057,0.6124,1.0,0.0367,0.0321,0.0537,0.0999,0.0131,0.0236,0.0477,0.0743,0.0949,0.0698,0.0829,0.0331,0.0784,0.0331,0.0964,0.0763,0
ENST00000831704.1|ENSG00000310526.1|-|-|WASH7P-457|WASH7P|1404|,0.2201,0.1553,0.3269,0.2977,0.6246,1.0,0.0328,0.0278,0.057,0.0984,0.0135,0.0221,0.0499,0.0691,0.0969,0.0727,0.0941,0.0349,0.0734,0.0321,0.0976,0.0756,0
ENST00000831242.1|ENSG00000310526.1|-|-|WASH7P-236|WASH7P|670|,0.206,0.1701,0.3194,0.3045,0.6239,1.0,0.0284,0.0254,0.0673,0.0777,0.0135,0.0314,0.0493,0.0747,0.0807,0.0852,0.0912,0.0404,0.0777,0.0269,0.0897,0.0822,0
ENST00000831319.1|ENSG00000310526.1|-|-|WASH7P-261|WASH7P|1338|,0.2197,0.1607,0.3244,0.2952,0.6196,1.0,0.0344,0.0247,0.0613,0.095,0.0142,0.0262,0.0471,0.0711,0.0898,0.0755,0.0927,0.0352,0.077,0.0322,0.092,0.0726,0
ENST00000831337.1|ENSG00000310526.1|-|-|WASH7P-269|WASH7P|1476|,0.2141,0.1592,0.3299,0.2967,0.6267,1.0,0.0319,0.0251,0.061,0.0922,0.0122,0.0231,0.0522,0.0705,0.0936,0.078,0.0922,0.0386,0.0732,0.0319,0.0969,0.0732,0
ENST00000831154.1|ENSG00000310526.1|-|-|WASH7P-206|WASH7P|1788|,0.2254,0.1616,0.311,0.302,0.613,1.0,0.0364,0.028,0.0537,0.1024,0.0145,0.0235,0.0498,0.0716,0.0923,0.0733,0.0845,0.0341,0.0778,0.0347,0.0963,0.0739,0
ENST00000831165.1|ENSG00000310526.1|-|-|WASH7P-210|WASH7P|1475|,0.2231,0.158,0.3186,0.3003,0.619,1.0,0.0387,0.0251,0.057,0.097,0.0136,0.0251,0.0495,0.0678,0.0923,0.0739,0.0882,0.038,0.0739,0.0319,0.097,0.0753,0
ENST00000831460.1|ENSG00000310526.1|-|-|WASH7P-305|WASH7P|1997|,0.2163,0.1597,0.3095,0.3145,0.6239,1.0,0.0311,0.0286,0.0541,0.0997,0.0145,0.022,0.0476,0.0741,0.0917,0.0706,0.0852,0.0341,0.0767,0.0371,0.0947,0.0812,0
ENST00000831324.1|ENSG00000310526.1|-|-|WASH7P-263|WASH7P|1809|,0.2178,0.1564,0.309,0.3167,0.6258,1.0,0.0332,0.026,0.0548,0.1001,0.0138,0.0221,0.0465,0.0725,0.0907,0.0702,0.0846,0.0354,0.0763,0.0365,0.0951,0.0813,0
ENST00000456328.3|ENSG00000290825.2|-|OTTHUMT00000362751.1|DDX11L16-258|DDX11L16|1683|,0.1925,0.2579,0.3066,0.243,0.5496,1.0,0.0268,0.0363,0.0488,0.0731,0.0214,0.0541,0.0749,0.0898,0.0809,0.0993,0.0856,0.0143,0.0553,0.0511,0.0707,0.0523,0
ENST00000831141.1|ENSG00000310526.1|-|-|WASH7P-203|WASH7P|1721|,0.2255,0.154,0.3062,0.3144,0.6206,1.0,0.0378,0.0238,0.0558,0.1029,0.0128,0.0233,0.0453,0.0709,0.0878,0.0703,0.0826,0.0384,0.0826,0.0349,0.0953,0.0779,0
ENST00000831225.1|ENSG00000310526.1|-|-|WASH7P-227|WASH7P|1132|,0.2111,0.1493,0.341,0.2986,0.6396,1.0,0.0318,0.0221,0.0628,0.0893,0.0141,0.0221,0.0469,0.0654,0.0928,0.076,0.099,0.0416,0.0681,0.0283,0.1008,0.0778,0
